classifier,acc_raw_clean,acc_raw_att,acc_acra_att
nn,0.9067245119,0.7527114967,0.8026030369
svm,0.9479392625,0.6898047722,0.885032538
lr,0.9219088937,0.6811279826,0.9067245119
rf,0.9544468547,0.6572668113,0.8242950108
nb,0.8893709328,0.8091106291,0.9262472885
