classifier,acc_raw_clean,acc_raw_att,acc_acra_att
nn,0.9067245119,0.7678958785,0.8047722343
svm,0.9522776573,0.6854663774,0.8611713666
lr,0.9479392625,0.7071583514,0.9262472885
rf,0.9436008677,0.6572668113,0.7982646421
nb,0.8958785249,0.7874186551,0.9023861171
