classifier,acc_raw_clean,acc_raw_att,acc_acra_att
nn,0.9002169197,0.7613882863,0.7960954447
svm,0.9544468547,0.6984815618,0.8958785249
lr,0.9392624729,0.6811279826,0.9284164859
rf,0.9566160521,0.6724511931,0.84164859
nb,0.8958785249,0.7744034707,0.9132321041
