classifier,acc_raw_clean,acc_raw_att,acc_acra_att
nn,0.9023861171,0.7700650759,0.8329718004
svm,0.9370932755,0.7223427332,0.885032538
lr,0.9240780911,0.6984815618,0.9132321041
rf,0.9436008677,0.6746203905,0.8026030369
nb,0.9088937093,0.8134490239,0.9284164859
