classifier,acc_raw_clean,acc_raw_att,acc_acra_att
nn,0.9023861171,0.737527115,0.7657266811
svm,0.9370932755,0.6442516269,0.8828633406
lr,0.9197396963,0.6247288503,0.9067245119
rf,0.9327548807,0.6247288503,0.7982646421
nb,0.8958785249,0.7830802603,0.9240780911
