classifier,acc_raw_clean,acc_raw_att,acc_acra_att
nn,0.9132321041,0.7201735358,0.885032538
svm,0.9370932755,0.68329718,0.8698481562
lr,0.9088937093,0.6572668113,0.9088937093
rf,0.9457700651,0.6854663774,0.830802603
nb,0.8785249458,0.5292841649,0.9587852495
