classifier,acc_raw_clean,acc_raw_att,acc_acra_att
nn,0.9110629067,0.7852494577,0.8004338395
svm,0.9414316703,0.6854663774,0.8937093275
lr,0.9305856833,0.6594360087,0.9284164859
rf,0.9414316703,0.6507592191,0.8329718004
nb,0.9002169197,0.8177874187,0.9240780911
