classifier,acc_raw_clean,acc_raw_att,acc_acra_att
nn,0.8893709328,0.7852494577,0.7982646421
svm,0.9262472885,0.7180043384,0.8720173536
lr,0.9219088937,0.7114967462,0.9088937093
rf,0.9392624729,0.6724511931,0.8091106291
nb,0.8763557484,0.7982646421,0.9154013015
