classifier,acc_raw_clean,acc_raw_att,acc_acra_att
nn,0.9219088937,0.7895878525,0.8199566161
svm,0.9436008677,0.7201735358,0.9023861171
lr,0.9392624729,0.7006507592,0.9219088937
rf,0.9479392625,0.6789587852,0.8438177874
nb,0.885032538,0.7960954447,0.9284164859
